frame;intention_direction;intention_proximity
1;left;893
2;left;388
3;left;388
4;left;388
5;left;388
6;left;388
7;left;388
8;left;388
9;left;388
10;left;388
11;left;388
12;left;388
13;left;388
14;left;388
15;left;388
16;left;388
17;left;388
18;left;388
19;left;388
20;left;388
21;left;388
22;left;388
23;left;388
24;left;388
25;left;388
26;left;388
27;left;388
28;left;388
29;left;388
30;left;388
31;left;388
32;left;387
33;left;386
34;left;386
35;left;385
36;left;384
37;left;384
38;left;383
39;left;382
40;left;382
41;left;381
42;left;380
43;left;380
44;left;379
45;left;378
46;left;378
47;left;377
48;left;377
49;left;376
50;left;375
51;left;375
52;left;374
53;left;374
54;left;373
55;left;373
56;left;372
57;left;371
58;left;371
59;left;370
60;left;370
61;left;369
62;left;369
63;left;368
64;left;367
65;left;367
66;left;366
67;left;366
68;left;365
69;left;364
70;left;364
71;left;363
72;left;363
73;left;362
74;left;362
75;left;361
76;left;360
77;left;360
78;left;359
79;left;359
80;left;358
81;left;358
82;left;357
83;left;356
84;left;356
85;left;355
86;left;355
87;left;354
88;left;354
89;left;353
90;left;352
91;left;352
92;left;351
93;left;351
94;left;350
95;left;350
96;left;349
97;left;348
98;left;348
99;left;347
100;left;347
101;left;346
102;left;345
103;left;344
104;left;343
105;left;343
106;left;342
107;left;341
108;left;340
109;left;338
110;left;337
111;left;336
112;left;335
113;left;334
114;left;332
115;left;331
116;left;330
117;left;328
118;left;327
119;left;326
120;left;324
121;left;323
122;left;322
123;left;320
124;left;319
125;left;317
126;left;316
127;left;314
128;left;312
129;left;311
130;left;309
131;left;307
132;left;306
133;left;304
134;left;302
135;left;300
136;left;298
137;left;296
138;left;294
139;left;293
140;left;291
141;left;289
142;left;287
143;left;285
144;left;283
145;left;281
146;left;279
147;left;277
148;left;275
149;left;273
150;left;271
151;left;269
152;left;267
153;left;265
154;left;262
155;left;260
156;left;258
157;left;256
158;left;253
159;left;251
160;left;249
161;left;247
162;left;245
163;left;242
164;left;240
165;left;238
166;left;236
167;left;234
168;left;231
169;left;229
170;left;227
171;left;225
172;left;223
173;left;221
174;left;218
175;left;216
176;left;214
177;left;212
178;left;209
179;left;207
180;left;205
181;left;203
182;left;201
183;left;199
184;left;196
185;left;194
186;left;192
187;left;190
188;left;188
189;left;186
190;left;183
191;left;181
192;left;179
193;left;177
194;left;174
195;left;172
196;left;170
197;left;168
198;left;166
199;left;163
200;left;161
201;left;159
202;left;157
203;left;154
204;left;152
205;left;150
206;left;148
207;left;146
208;left;143
209;left;141
210;left;139
211;left;137
212;left;135
213;left;133
214;left;131
215;left;129
216;left;126
217;left;124
218;left;122
219;left;120
220;left;118
221;left;115
222;left;113
223;left;111
224;left;109
225;left;106
226;left;104
227;left;102
228;left;100
229;left;98
230;left;96
231;left;93
232;left;91
233;left;89
234;left;87
235;left;86
236;left;84
237;left;82
238;left;81
239;left;79
240;left;78
241;left;77
242;left;76
243;left;75
244;left;74
245;left;73
246;left;72
247;left;72
248;left;71
249;left;70
250;left;70
251;left;69
252;left;69
253;left;68
254;left;67
255;left;67
256;left;66
257;left;66
258;left;65
259;left;64
260;left;64
261;left;63
262;left;63
263;left;62
264;left;61
265;left;61
266;left;60
267;left;59
268;left;59
269;left;58
270;left;57
271;left;57
272;left;56
273;left;56
274;left;55
275;left;54
276;left;54
277;left;53
278;left;53
279;left;52
280;left;51
281;left;51
282;left;50
283;left;49
284;left;49
285;left;48
286;left;48
287;left;47
288;left;46
289;left;46
290;left;45
291;left;44
292;left;44
293;left;43
294;left;43
295;left;42
296;left;42
297;left;41
298;left;41
299;left;40
300;left;39
301;left;39
302;left;38
303;left;38
304;left;37
